補助金名,補助金上限額,補助率,対象地域,従業員数の上限,募集期間,詳細URL,取得日時
「起業スタートダッシュ」 高校生起業家養成プログラム 第5期養成講座の受講生を募集します！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082704,2025-08-27T10:17:33.511031+00:00
令和7年度「学童クラブ職員就職相談会」の開催について,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082707,2025-08-27T10:17:33.512839+00:00
「令和7年度 第2回 復興応援ふるさと市」の開催,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082606,2025-08-27T10:17:33.512961+00:00
令和7年度障害者週間ポスターの「標語」を募集します 15字で描こう、共に生きる社会,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082716,2025-08-27T10:17:33.513014+00:00
指定医療機関の行政処分について,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082714,2025-08-27T10:17:33.513076+00:00
職場で休職者の復帰を支える皆さまへ 第18回 うつ病休職者の職場復帰支援を考えるフォーラム,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082611,2025-08-27T10:17:33.513153+00:00
「水素モビリティ体験ツアー」の参加者を募集します！ 水素ハイブリッド電車「HYBARI」に乗車し、走行体験するイベントは初開催,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082605,2025-08-27T10:17:33.513240+00:00
令和7年度東京都依存症対策普及啓発フォーラム 多様化する現代の依存症 「やめられない」を、ともに考える,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082603,2025-08-27T10:17:33.513293+00:00
青山創業促進センター 令和7年度下半期アクセラレーションプログラム受講者の募集開始！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082507,2025-08-27T10:17:33.513409+00:00
京都府等との連携による商談会等を開催します 令和7年度「地域連携型商談機会創出事業」,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082506,2025-08-27T10:17:33.513460+00:00
新規事業　事業承継を契機とした「第二創業」支援事業「ツギノツギ」事業開発プログラム（第一期）の公募開始！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082505,2025-08-27T10:17:33.513510+00:00
地方独立行政法人東京都健康長寿医療センター監事の任命について,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082503,2025-08-27T10:17:33.513569+00:00
「地域とつながる若者フォーラム」を開催 若者からのアイデア募集を開始します！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082210,2025-08-27T10:17:33.513684+00:00
家庭のゼロエミッション行動推進事業 「東京ゼロエミポイント」による支援を拡充します！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082204,2025-08-27T10:17:33.513802+00:00
世界に羽ばたくアニメーター等の育成支援事業 「現代版トキワ荘」起業家育成プログラム第1期生を募集します,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082205,2025-08-27T10:17:33.513850+00:00
全ての業種を対象に中小企業における設備（機械設備、ソフトウェア）の導入を支援します！ 第10回（令和7年度第2回）躍進的な事業推進のための設備投資支援事業募集開始,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082206,2025-08-27T10:17:33.513906+00:00
TOKYO UNITEと連携協定を締結しました,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082211,2025-08-27T10:17:33.513984+00:00
民間医療機関向け補助金概要|事業主の方へ|東京都保健医療局,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou,2025-08-27T10:17:36.558377+00:00
健康・医療,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/kurashi/kenko-iryo?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.570703+00:00
高齢者・福祉,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/kurashi/fukushi?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.570801+00:00
助成・補助金,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/purpose/grant?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.571152+00:00
公募・募集,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/purpose/opencall?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.571309+00:00
意見募集,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/purpose/opinion?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.571378+00:00
保健医療局,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.571832+00:00
助成・給付金・融資,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/search?keyword=&category=163887,2025-08-27T10:17:36.572359+00:00
事業者募集,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/search?keyword=&category=163893,2025-08-27T10:17:36.572454+00:00
みんなの医療・健康情報チャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_medical?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.573081+00:00
医療・介護・福祉で働くチャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_welfare-careers?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.573178+00:00
働くひと応援チャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_workers?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.573239+00:00
IT・スマートライフチャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_smartlife?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.573315+00:00
健康・医療,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/search/?category=187586&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.573830+00:00
高齢者・福祉,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/search/?category=187589&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.573915+00:00
助成・給付金・融資,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/business/search/?category=188508&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.574321+00:00
事業者募集,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/business/search/?category=188514&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:17:36.574418+00:00
保健医療局の分野別,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/field,2025-08-27T10:17:36.574837+00:00
献血・移植医療,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kenkou/k_isyoku,2025-08-27T10:17:36.578546+00:00
医療政策,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo,2025-08-27T10:17:36.578794+00:00
医療政策 トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo,2025-08-27T10:17:36.578862+00:00
医療・保健施策,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken,2025-08-27T10:17:36.578929+00:00
救急・災害医療,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/kyuukyuu,2025-08-27T10:17:36.579017+00:00
その他の医療対策,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota,2025-08-27T10:17:36.579086+00:00
医療助成,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/josei,2025-08-27T10:17:36.579170+00:00
病院管理,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/kanri,2025-08-27T10:17:36.579240+00:00
医療法人の設立・運営,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/hojin,2025-08-27T10:17:36.579302+00:00
医療機関の方へ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/iryokikan,2025-08-27T10:17:36.579931+00:00
大気汚染医療費助成制度のご案内,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kankyo/kankyo-eisei,2025-08-27T10:17:36.580568+00:00
保健・医療を支える体制づくり,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kiban,2025-08-27T10:17:36.580910+00:00
保健・医療を支える体制づくり トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kiban,2025-08-27T10:17:36.580994+00:00
都立病院,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kiban/byouin,2025-08-27T10:17:36.581066+00:00
保健医療局トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/index.html,2025-08-27T10:17:36.581261+00:00
東京都医療機関等物価高騰緊急対策支援金（令和5年度下半期分）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka2,2025-08-27T10:17:36.581425+00:00
東京都医療機関等物価高騰緊急対策支援金（令和７年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka,2025-08-27T10:17:36.581494+00:00
民間医療機関向け補助金 Q&A,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/qa,2025-08-27T10:17:36.581658+00:00
民間医療機関向け補助金 お問合せ一覧,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/otoiawase,2025-08-27T10:17:36.581743+00:00
医療施設近代化施設整備事業【病院(一般・精神)】【診療所】,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/kindaika,2025-08-27T10:17:36.581822+00:00
地域医療構想推進事業（施設設備整備）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_sisetsuseibi,2025-08-27T10:17:36.581903+00:00
地域医療構想推進事業（中小病院支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_chuusyousien,2025-08-27T10:17:36.581984+00:00
地域医療構想推進事業（開設準備経費支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_kaisetsujunbi,2025-08-27T10:17:36.582079+00:00
地域医療構想推進事業（開設後人件費支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_jinkenhi,2025-08-27T10:17:36.582167+00:00
医療機器管理室施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/k_shisetsu,2025-08-27T10:17:36.582261+00:00
医療施設等アスベスト（石綿）除去等整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/asubesutojokyo,2025-08-27T10:17:36.582343+00:00
